id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,7076.25,Abierto,fecha_siniestro_invalida
4,14299,,274.63,Abierto,fecha_siniestro_invalida
5,12908,,9377.69,Rechazado,fecha_siniestro_invalida
6,5107,,10535.74,,"fecha_siniestro_invalida,estado_vacio"
7,3379,,10513.3,Abierto,fecha_siniestro_invalida
9,18118,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
10,19947,,8801.03,Cerrado,fecha_siniestro_invalida
11,6448,,1.61938,Abierto,fecha_siniestro_invalida
12,4096,,,Rechazado,"fecha_siniestro_invalida,monto_siniestro_invalido"
14,8260,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
15,19142,,14533.77,Abierto,fecha_siniestro_invalida
16,16312,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
17,2112,,11.99556,Cerrado,fecha_siniestro_invalida
18,4445,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
19,5547,,5714.06,Cerrado,fecha_siniestro_invalida
20,21508,,8867.02,,"fecha_siniestro_invalida,estado_vacio"
21,8637,,4335.01,Abierto,fecha_siniestro_invalida
22,6924,,10436.86,Cerrado,fecha_siniestro_invalida
23,5261,,6636.22,Abierto,fecha_siniestro_invalida
25,719,,3257.92,,"fecha_siniestro_invalida,estado_vacio"
26,7930,,1326.94,Abierto,fecha_siniestro_invalida
27,22625,2025-03-07,141.77,,estado_vacio
28,3123,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
29,18397,,1485.06,Abierto,fecha_siniestro_invalida
30,20396,,,,"fecha_siniestro_invalida,monto_siniestro_invalido,estado_vacio"
31,14500,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
32,20349,,-6166.3,,"fecha_siniestro_invalida,estado_vacio"
34,14393,,,Cerrado,"fecha_siniestro_invalida,monto_siniestro_invalido"
35,15273,,13959.68,Cerrado,fecha_siniestro_invalida
37,504,,1.14351,Rechazado,fecha_siniestro_invalida
38,1202,,2154.09,Cerrado,fecha_siniestro_invalida
39,551,,,Abierto,"fecha_siniestro_invalida,monto_siniestro_invalido"
40,8220,,1.08173,Cerrado,fecha_siniestro_invalida
41,4657,,9.2686,,"fecha_siniestro_invalida,estado_vacio"
